step,reward,queue,avg_wait,peds,cars,ambulance,trucks,timestamp
143,0,22,0,72,13,3,5,00:55:08
144,0,22,0,72,13,3,5,00:55:08
145,0,22,0,72,13,3,5,00:55:08
146,0,22,0,72,13,3,5,00:55:08
147,0,22,0,72,13,3,5,00:55:08
148,0,22,0,72,13,3,5,00:55:08
149,0,23,0,72,13,3,5,00:55:08
150,0,23,0,102,19,3,5,00:55:09
151,0,23,0,102,19,3,5,00:55:09
152,0,23,0,102,19,3,5,00:55:09
153,0,23,0,102,19,3,5,00:55:09
154,0,24,0,102,19,3,5,00:55:09
155,0,24,0,102,19,3,5,00:55:09
156,0,24,0,102,19,3,5,00:55:09
157,0,24,0,102,19,3,5,00:55:09
158,0,24,0,102,19,3,5,00:55:09
159,0,24,0,102,19,3,5,00:55:09
160,0,25,0,102,19,3,5,00:55:09
161,0,25,0,102,19,3,5,00:55:09
162,0,25,0,102,19,3,5,00:55:09
163,0,25,0,102,19,3,5,00:55:09
164,0,25,0,102,19,3,5,00:55:09
165,0,25,0,102,19,3,5,00:55:09
166,0,25,0,102,19,3,5,00:55:09
167,0,25,0,102,19,3,5,00:55:09
168,0,25,0,102,19,3,5,00:55:09
169,0,25,0,102,19,3,5,00:55:09
170,0,25,0,102,19,3,5,00:55:09
171,0,25,0,102,19,3,5,00:55:10
172,0,25,0,102,19,3,5,00:55:10
173,0,25,0,102,19,3,5,00:55:10
174,0,25,0,102,19,3,5,00:55:10
175,0,25,0,102,19,3,5,00:55:10
176,0,26,0,102,19,3,5,00:55:10
177,0,26,0,102,19,3,5,00:55:10
178,0,26,0,102,19,3,5,00:55:10
179,0,26,0,102,19,3,5,00:55:10
180,0,26,0,102,19,3,5,00:55:10
181,0,26,0,102,19,3,5,00:55:10
182,0,26,0,102,19,3,5,00:55:10
183,0,26,0,102,19,3,5,00:55:10
184,0,26,0,102,19,3,5,00:55:10
185,0,26,0,102,19,3,5,00:55:10
186,0,26,0,102,19,3,5,00:55:10
187,0,26,0,102,19,3,5,00:55:10
188,0,26,0,102,19,3,5,00:55:10
189,0,26,0,102,19,3,5,00:55:10
190,0,26,0,102,19,3,5,00:55:11
191,0,26,0,102,19,3,5,00:55:11
192,0,26,0,102,19,3,5,00:55:11
193,0,26,0,102,19,3,5,00:55:11
194,0,26,0,102,19,3,5,00:55:11
195,0,26,0,102,19,3,5,00:55:11
196,0,26,0,102,19,3,5,00:55:11
197,0,26,0,102,19,3,5,00:55:11
198,0,26,0,102,19,3,5,00:55:11
199,0,26,0,102,19,3,5,00:55:11
200,0,27,0,138,26,4,6,00:55:11
201,0,27,0,138,26,4,6,00:55:11
202,0,27,0,138,26,4,6,00:55:11
203,0,27,0,138,26,4,6,00:55:11
204,0,22,0,138,26,4,6,00:55:11
205,0,17,0,138,26,4,6,00:55:11
206,0,17,0,138,26,4,6,00:55:11
207,0,17,0,138,26,4,6,00:55:11
208,0,17,0,138,26,4,6,00:55:11
209,0,14,0,138,26,4,6,00:55:12
210,0,12,0,138,26,4,6,00:55:12
211,0,11,0,138,26,4,6,00:55:12
212,0,11,0,138,26,4,6,00:55:12
213,0,10,0,138,26,4,6,00:55:12
214,0,11,0,138,26,4,6,00:55:12
215,0,13,0,138,26,4,6,00:55:12
216,0,13,0,138,26,4,6,00:55:12
217,0,10,0,138,26,4,6,00:55:12
218,0,10,0,138,26,4,6,00:55:12
219,0,11,0,138,26,4,6,00:55:12
220,0,11,0,138,26,4,6,00:55:12
221,0,11,0,138,26,4,6,00:55:12
222,0,11,0,138,26,4,6,00:55:12
223,0,11,0,138,26,4,6,00:55:12
224,0,12,0,138,26,4,6,00:55:12
225,0,11,0,138,26,4,6,00:55:12
